-0.803898+0.600260i	-0.520027+1.290558i	0.369907-0.453862i
0.981151-0.209539i	-1.098643+0.853787i	0.484425+0.328867i
-0.978970-0.219501i	-1.379006+0.185235i	-0.285316+0.511289i
0.797755+0.608400i	-1.285004-0.533604i	-0.534248-0.239585i
0.230956+0.148501i	0.398806+0.147335i	-0.662686-0.446992i
-0.269650-0.051789i	-0.154628+0.396035i	-0.315955+0.734253i
0.269537-0.052375i	-0.393131-0.161869i	0.780203+0.173894i
-0.230633+0.149003i	0.169056-0.390095i	0.025766-0.798931i
0.158537-0.224186i	0.386927+0.176186i	-0.789786+0.123261i
-0.063625+0.267105i	-0.183256+0.383629i	0.267987+0.753086i
-0.040444-0.271583i	-0.380202-0.190265i	0.690111-0.403363i
0.138692+0.236977i	0.197209-0.376646i	-0.524667-0.603059i
0.697581-0.664665i	-0.204302+0.379656i	0.618134-1.258100i
0.743691+0.612636i	0.417012-0.109446i	-0.924625-1.053553i
-0.518808+0.811934i	-0.364412-0.230395i	-1.327690+0.449605i
-0.868405-0.417459i	0.079966+0.423655i	-0.094242+1.398579i
0.310057-0.912285i	0.255356-0.347378i	1.255369+0.623662i
0.942938+0.198159i	-0.428215+0.050093i	1.057610-0.919982i
-0.083388+0.959920i	0.328637+0.279062i	-0.443761-1.329654i
-0.962983+0.032592i	-0.019974-0.430673i	-1.398151-0.100393i
-1.715738+0.254310i	0.897121+0.224670i	-0.711500-1.101600i
0.379119-1.692542i	0.924824+0.001805i	-1.306983-0.107473i
1.443310+0.961918i	0.897991-0.221166i	-0.881895+0.970575i
-1.416254+1.001327i	0.818205-0.431096i	0.231830+1.290740i
-0.425618-1.681452i	0.690170-0.615604i	1.164528+0.603017i
1.722095+0.206931i	0.521436-0.763811i	1.187892-0.555578i
-0.811845+1.532755i	0.321954-0.866976i	0.283679-1.280344i
-1.138719-1.308339i	0.103486-0.919017i	-0.842048-1.005341i
0.121858+0.959412i	0.165580-0.403073i	0.123078-0.745683i
0.686922-0.680779i	0.392921-0.188408i	-0.242635-0.715765i
-0.958279-0.130472i	0.417960+0.123263i	-0.551155-0.517127i
0.479912+0.839646i	0.227805+0.371470i	-0.729756-0.196591i
0.373921-0.891911i	-0.079640+0.428418i	-0.736339+0.170285i
-0.935211+0.246376i	-0.346081+0.264788i	-0.569352+0.497021i
0.764826+0.591914i	-0.434336-0.035173i	-0.268157+0.706600i
0.003932-0.967112i	-0.298965-0.317025i	0.096248+0.749618i
-0.440436-0.841367i	-0.462236-1.011839i	-0.523793+0.877085i
0.942633+0.115436i	-0.693422+0.869854i	0.619553+0.812275i
-0.630445+0.710226i	1.089410+0.225089i	0.984365-0.273244i
-0.226413-0.922290i	-0.291908-1.073438i	0.112218-1.015404i
0.887663+0.337545i	-0.825391+0.745795i	-0.900943-0.481601i
-0.782019+0.538821i	1.038442+0.398896i	-0.781974+0.657384i
0.000753-0.949675i	-0.113840-1.106580i	0.319628+0.970296i
0.781164+0.540060i	-0.935478+0.601964i	1.019583+0.063928i
-0.287187-0.314579i	0.909486+0.213806i	-1.276827+0.581060i
0.425614-0.017000i	0.833308-0.422465i	-0.551958-1.289675i
-0.261182+0.336482i	0.365101-0.859988i	1.301859-0.522572i
-0.089102-0.416530i	-0.274867-0.892932i	0.492918+1.313374i
0.375983+0.200182i	-0.785525-0.505796i	-1.324213+0.463010i
-0.395321+0.158611i	-0.926633+0.119290i	-0.432863-1.334372i
0.133356-0.404540i	-0.631808+0.688257i	1.343844-0.402495i
0.223503+0.362605i	-0.039750+0.933434i	0.371919+1.352625i
-0.209675-0.348377i	-0.620016+0.686714i	-0.680363-0.506303i
-0.142784-0.380714i	-0.160418-0.911188i	0.668871-0.521391i
-0.071125-0.400339i	0.817265+0.433676i	0.324939+0.783359i
0.002908-0.406598i	-0.844486+0.377943i	-0.841537+0.105130i
0.076845-0.399281i	0.221109-0.898392i	0.122236-0.839223i
0.148215-0.378632i	0.572611+0.726714i	0.776583+0.340816i
0.214637-0.345342i	-0.925188+0.004829i	-0.534897+0.658120i
0.273893-0.300521i	0.564994-0.732652i	-0.492350-0.690527i
-1.005360+0.103592i	-0.834834-0.777468i	0.298063+0.543077i
0.909920+0.439916i	-0.049769-1.139705i	0.533554+0.314792i
-0.543227-0.852283i	0.763884-0.847281i	0.619492-0.001728i
0.014594+1.010578i	1.138753-0.068168i	0.531789-0.317764i
0.518389-0.867614i	0.859507+0.750101i	0.295028-0.544731i
-0.896838+0.466008i	0.086550+1.137503i	-0.024428-0.619013i
1.007933+0.074518i	-0.736122+0.871509i	-0.337038-0.519788i
-0.818556-0.592829i	-1.135957+0.104910i	-0.555177-0.274868i
-1.659296-0.034040i	-0.807896+0.701564i	0.113459+0.163286i
-1.234903-1.108799i	-0.018420-1.069836i	-0.150370-0.130093i
-0.211885-1.646063i	0.831568+0.673337i	0.177909+0.088790i
0.913845-1.385391i	-1.050271+0.204497i	-0.194358-0.041954i
1.596584-0.453144i	0.518189-0.936146i	0.198694-0.007497i
1.505372+0.698767i	0.384321+0.998592i	-0.190644+0.056482i
0.684424+1.511947i	-1.012099-0.347196i	0.170712-0.101945i
-0.468301+1.592204i	0.916379-0.552393i	-0.140139+0.141055i
0.399098-0.845568i	-0.086135-0.259482i	-1.110935-0.048955i
0.041818-0.934085i	-0.259338-0.086565i	1.079636-0.266381i
-0.321942-0.877848i	-0.224726+0.155718i	-0.960665+0.560085i
-0.635811-0.685571i	-0.010033+0.273220i	0.763682-0.808308i
-0.851149-0.387052i	0.212699+0.171782i	-0.504685+0.990891i
-0.934585-0.028551i	0.264989-0.067310i	0.204704-1.093009i
-0.873188+0.334374i	0.104935-0.252465i	0.111900+1.106368i
-0.676474+0.645482i	-0.139207-0.235311i	-0.419416-1.029884i
-0.019954-0.024161i	-0.513501+0.402462i	-0.464179-0.732028i
0.028830-0.012278i	0.445175+0.476946i	0.855584+0.138934i
0.003592+0.031129i	0.436851-0.484583i	-0.671962+0.547535i
-0.030868-0.005389i	-0.520392-0.393511i	0.036722-0.866013i
0.013927-0.028070i	-0.347250+0.552337i	0.623198+0.602454i
0.022964+0.021320i	0.580181+0.298410i	-0.864274+0.066006i
-0.026960+0.015971i	0.247354-0.603717i	0.524483-0.690105i
-0.007664-0.030384i	-0.622771-0.194462i	0.167807+0.850393i
1.004758-0.241097i	1.008207+1.700351i	0.374283-0.496408i
0.581396-0.854192i	-1.151983-1.606428i	-0.355383-0.510109i
-0.144255-1.023160i	1.287065+1.500380i	-0.595339+0.179107i
-0.794903-0.660148i	-1.412432-1.383008i	-0.014933+0.621519i
-1.032250+0.046101i	1.527139+1.255198i	0.586050+0.207493i
-0.732891+0.728379i	-1.630320-1.117915i	0.379471-0.492453i
-0.052474+1.031946i	1.721196+0.972193i	-0.350010-0.513810i
0.655226+0.798964i	-1.799081-0.819135i	-0.597186+0.172850i
0.065342+0.654494i	-0.934773-0.058590i	-1.253133-0.477580i
0.578340-0.313297i	-0.793105+0.498214i	-0.823864+1.058147i
-0.512530-0.412244i	-0.352994+0.867542i	0.770237+1.097798i
-0.182038+0.632056i	0.219948+0.910416i	1.275328-0.414687i
0.653287-0.076478i	0.710125+0.610702i	-0.022721-1.340862i
-0.323101-0.572921i	0.933083+0.081182i	-1.288645-0.371240i
-0.403456+0.519476i	0.804924-0.478886i	-0.732601+1.123264i
0.635064+0.171248i	0.373874-0.858750i	0.859242+1.029626i
0.537256+0.349023i	-0.291796-1.218100i	-0.552402-0.299541i
0.301550-0.565268i	-1.235975+0.203169i	-0.461997-0.425948i
-0.589096-0.251846i	0.113483+1.247410i	-0.343335-0.526302i
-0.200277+0.608564i	1.252347-0.023207i	-0.203674-0.594466i
0.623527+0.147226i	0.067191-1.250758i	-0.051554-0.626271i
0.093085-0.633874i	-1.242653-0.157239i	0.103718-0.619771i
-0.639529-0.038255i	-0.246467+1.228074i	0.252646-0.575363i
0.016858+0.640450i	1.207096+0.334411i	0.386122-0.495765i
-1.395106-1.049696i	0.220906-0.717183i	-0.784934+0.607484i
-0.410045+1.697070i	0.079693+0.746190i	-0.280895+0.951975i
1.720472-0.296912i	-0.367385-0.654354i	0.329420+0.936291i
-0.955133-1.461473i	0.595580+0.456546i	0.815100+0.566365i
-0.962584+1.456576i	-0.727323-0.184802i	0.992391-0.017842i
1.718934+0.305695i	0.741277-0.116870i	0.794215-0.595299i
-0.401372-1.699142i	-0.635183+0.399615i	0.295551-0.947527i
-1.400449+1.042557i	0.426223-0.617644i	-0.314933-0.941263i
-0.173885-0.635607i	-0.928923-0.380472i	0.286164+0.382187i
0.341468-0.563588i	-0.931730+0.373544i	0.097582+0.467370i
0.643890-0.140131i	-0.408829+0.916796i	-0.109330+0.464762i
0.544801+0.370707i	0.344745+0.942766i	-0.295705+0.374854i
0.105988+0.650383i	0.903804+0.436799i	-0.426535+0.214534i
-0.398916+0.524498i	0.952911-0.315621i	-0.477246+0.013915i
-0.655067+0.071550i	0.464358-0.889960i	-0.438311-0.189317i
-0.502736-0.426015i	-0.286199-0.962157i	-0.317044-0.356988i
1.113323+0.277458i	-0.182721+0.980692i	0.709660-0.153008i
-1.123865+0.231082i	0.408786-0.909967i	0.693528+0.214589i
0.913535-0.694208i	-0.611802+0.787936i	0.499235+0.527061i
-0.523670+1.020902i	0.780325-0.621480i	0.176694+0.704136i
0.030888-1.146960i	-0.904852+0.419985i	-0.191237+0.700327i
0.467964+1.047608i	0.978363-0.194810i	-0.510042+0.516610i
-0.874847-0.742370i	-0.996712-0.041348i	-0.697822+0.200183i
1.109799+0.291236i	0.958866+0.275175i	-0.706340-0.167670i
0.791458+0.060320i	-0.319475-0.643255i	0.119486-0.215452i
-0.545468+0.576636i	-0.713395+0.083124i	-0.065851-0.237403i
-0.104160-0.786890i	-0.163021+0.699475i	-0.213398-0.123117i
0.676711+0.414857i	0.603137+0.389958i	-0.238484+0.061822i
-0.748507+0.264164i	0.570947-0.435731i	-0.126712+0.211283i
0.266418-0.747707i	-0.216984-0.684661i	0.057775+0.239497i
0.412816+0.677959i	-0.717701-0.027331i	0.209107+0.130272i
-0.786572-0.106531i	-0.268426+0.666175i	0.240441-0.053712i
-0.263913+1.245536i	-0.522410+0.469000i	-0.286811-0.449358i
-0.198273-1.257655i	0.522433+0.468974i	0.498603+0.188621i
0.634313+1.103927i	0.410104-0.569813i	-0.512417+0.147012i
-0.986706-0.804624i	-0.610592-0.346483i	0.322765-0.424271i
1.208982+0.399214i	-0.278848+0.644295i	-0.004954+0.533065i
-1.271828+0.058840i	0.670534+0.207982i	-0.314825-0.430196i
1.166958-0.509135i	0.134706-0.689004i	0.509596+0.156510i
-0.908201+0.892290i	-0.699492-0.059869i	-0.502023+0.179322i
-0.484091+0.973128i	-1.529590+0.051241i	-0.654376-0.690083i
0.459322-0.985061i	-1.494601-0.329302i	-0.915045-0.259067i
-0.434259+0.996364i	-1.366425-0.689314i	-0.919011+0.244626i
0.408918-1.007029i	-1.153055-1.006347i	-0.665161+0.679693i
-0.383315+1.017050i	-0.867794-1.260637i	-0.224710+0.924082i
0.357468-1.026420i	-0.528427-1.436327i	0.278780+0.909233i
-0.331391+1.035134i	-0.156114-1.522465i	0.704062+0.639311i
0.305103-1.043185i	0.225933-1.513679i	0.931830+0.190040i
-1.507643-0.737444i	1.574317+1.670414i	-0.320231-0.401877i
0.385249+1.633523i	1.540548+1.701609i	0.394324+0.329486i
1.019260-1.333387i	1.506160+1.732120i	-0.452394-0.243706i
-1.677374+0.056824i	1.471168+1.761937i	0.492080+0.148023i
1.107162+1.261351i	1.435587+1.791047i	-0.511769-0.046324i
0.273815-1.655850i	1.399429+1.819439i	0.510661-0.057257i
-1.454280+0.837785i	1.362710+1.847101i	-0.488802+0.158512i
1.569788+0.593783i	1.325444+1.874022i	0.447079-0.253325i
-0.035790-1.162138i	-0.746152-0.319642i	1.065308-0.851487i
-0.168619-1.150397i	-0.678823-0.445099i	0.462815-1.282854i
-0.299230-1.123524i	-0.590608-0.556863i	-0.276308-1.335502i
-0.425906-1.081873i	-0.484221-0.651493i	-0.933861-0.993889i
-0.546979-1.025992i	-0.362937-0.726079i	-1.315723-0.358865i
-0.660857-0.956615i	-0.230486-0.778325i	-1.309164+0.382102i
-0.766043-0.874656i	-0.090944-0.806624i	-0.916118+1.010267i
-0.861153-0.781192i	0.051397-0.810106i	-0.252621+1.340184i
0.248612-1.043953i	0.591263+0.005892i	-1.266542-0.539730i
-0.285986+1.034339i	0.246841-0.537305i	-1.216112+0.645375i
0.322991-1.023388i	-0.389652-0.444745i	-0.262940+1.351406i
-0.359577+1.011113i	-0.565095+0.174052i	0.885417+1.054264i
0.395699-0.997531i	-0.071899+0.586905i	1.376513-0.025478i
-0.431309+0.982659i	0.506371+0.305312i	0.845798-1.086307i
0.466361-0.966516i	0.485485-0.337536i	-0.312769-1.340751i
-0.500810+0.949123i	-0.109843-0.581000i	-1.239161-0.599931i
-0.755822-0.833765i	-0.508689-0.904529i	-1.106972-0.027945i
-1.079192-0.319023i	0.572152+0.865782i	-1.043367-0.370882i
-1.087668+0.288805i	-0.632678-0.822590i	-0.876246-0.677024i
-0.778779+0.812364i	0.689956+0.775176i	-0.622191-0.915996i
-0.242652+1.098886i	-0.743691-0.723782i	-0.306405-1.064089i
0.364277+1.064769i	0.793609+0.668672i	0.039779-1.106610i
0.864915+0.719967i	-0.839452-0.610129i	0.382017-1.039342i
1.113183+0.165089i	0.880985+0.548454i	0.686354-0.868957i
-0.405433+0.017558i	-0.603914+0.170824i	-0.830064+0.009491i
0.203678+0.350997i	-0.569461-0.263832i	-0.146759+0.817043i
0.216416-0.343290i	-0.260157-0.571149i	0.774873+0.297774i
-0.404516-0.032418i	0.174712-0.602801i	0.438165-0.705059i
0.158983+0.373374i	0.525256-0.343511i	-0.610092-0.562925i
0.256977-0.314081i	0.622285+0.081575i	-0.667603+0.493359i
-0.397462-0.081902i	0.418969+0.467289i	0.359026+0.748463i
0.111875+0.390087i	0.013437+0.627465i	0.802622-0.211885i
0.139137+0.995631i	-0.069053-0.861845i	-0.331301+0.509149i
-0.991639-0.165208i	-0.523907-0.687797i	0.253519-0.552016i
0.454408-0.896746i	-0.812534-0.295523i	-0.170317+0.583082i
0.719653+0.701955i	-0.843355+0.190517i	0.083475-0.601685i
-0.885156+0.476592i	-0.606592+0.616109i	0.005152+0.607426i
-0.189843-0.987218i	-0.177367+0.846218i	-0.093668-0.600183i
0.998786+0.114307i	0.308134+0.807835i	0.180182+0.580110i
-0.407980+0.918800i	0.695869+0.513138i	-0.262845-0.547636i
0.513511+1.503114i	-0.416299-0.123657i	-0.528572+0.934315i
1.570374+0.238683i	-0.091685-0.424488i	0.253551+1.043094i
0.936924-1.282660i	0.328152-0.284451i	0.898473+0.587435i
-0.705009-1.423379i	0.407175+0.151013i	1.057214-0.186097i
-1.588087-0.032006i	0.063311+0.429637i	0.643876-0.858927i
-0.761786+1.393817i	-0.346307+0.262046i	-0.117875-1.066976i
0.884483+1.319369i	-0.396255-0.177703i	-0.815842-0.697664i
1.578716-0.175216i	-0.034658-0.432891i	-1.072341+0.049168i
-0.517707+0.851690i	-0.159942+0.333435i	0.703673+0.825228i
0.451906-0.888357i	-0.249659+0.272819i	-0.629061+0.883425i
-0.383523+0.919950i	-0.317975+0.188818i	-1.010004-0.395030i
0.312949-0.946288i	-0.359033+0.088630i	0.137223-1.075791i
-0.240588+0.967220i	-0.369314-0.019155i	1.076827-0.128844i
0.166853-0.982628i	-0.347937-0.125298i	0.387156+1.013049i
-0.092164+0.992423i	-0.296735-0.220700i	-0.888295+0.622164i
0.016949-0.996549i	-0.220095-0.297183i	-0.819725-0.710075i
-0.063843+1.270405i	1.013336+0.323807i	-0.052726-1.430838i
-0.417209+1.201642i	-0.921088-0.532257i	0.731071-1.231103i
-0.737158+1.036631i	0.786548+0.716269i	1.281565-0.638490i
-0.998064+0.788591i	-0.615895-0.867394i	1.423078+0.157881i
-1.179028+0.477387i	0.416963+0.978694i	1.110451+0.903868i
-1.265557+0.127947i	-0.198887-1.045057i	0.443449+1.361408i
-1.250721-0.231742i	-0.028321+1.063437i	-0.365068+1.384487i
-1.135706-0.572868i	0.254229-1.032990i	-1.057083+0.965740i
-0.097006+0.082756i	0.278070-0.477347i	0.099475-1.692946i
-0.119320+0.044960i	0.060781+0.549080i	-1.616627-0.512329i
-0.127496+0.001838i	-0.375739-0.404973i	-0.893782+1.441220i
-0.120566-0.041502i	0.542997+0.101674i	1.177479+1.220453i
-0.099351-0.079925i	-0.496806+0.241593i	1.472320-0.841568i
-0.066364-0.108878i	0.255324-0.489891i	-0.454075-1.633946i
-0.025515-0.124930i	0.086524+0.545616i	-1.695423+0.038751i
0.018358-0.126181i	-0.394360-0.386864i	-0.378948+1.652985i
-0.445550+1.013258i	-0.108128+0.661038i	0.759655+0.083846i
1.103807-0.082554i	0.531402-0.407770i	-0.262149-0.717903i
-0.591314-0.935710i	-0.666502-0.066628i	-0.526873+0.553635i
-0.548354+0.961516i	0.440165+0.504894i	0.730000+0.226288i
1.106413+0.032507i	0.024868-0.669362i	-0.121349-0.754573i
-0.490958-0.992051i	-0.476415+0.470842i	-0.622245+0.443754i
-0.645230+0.899380i	0.669608-0.016990i	0.673888+0.360530i
1.097057+0.147216i	-0.499680-0.446076i	0.023849-0.763896i
-0.537720-0.339215i	0.222840-1.077729i	-0.717541-0.091761i
0.147942+0.618323i	-0.360239-1.039897i	-0.052727-0.721460i
0.325954-0.545860i	-0.841771-0.708928i	0.696575-0.195110i
-0.614517+0.163030i	-1.086016-0.178120i	0.329703+0.643879i
0.553674+0.312497i	-1.024124+0.402898i	-0.565476+0.451133i
-0.178021-0.610343i	-0.673542+0.870344i	-0.554551-0.464497i
-0.298853+0.561156i	-0.133096+1.092448i	0.344972-0.635829i
0.605803-0.192905i	0.444869+1.006603i	0.691721+0.211675i
0.564296-0.890849i	-0.008759-0.815202i	0.225183+0.250018i
0.871075+0.594367i	-0.754289-0.309318i	0.306998+0.137726i
-0.623745+0.850285i	-0.578583+0.574345i	0.336471+0.001951i
-0.828505-0.652397i	0.303764+0.756543i	0.308575-0.134156i
0.680289-0.805761i	0.815115+0.014753i	0.228068-0.247390i
0.782077+0.707388i	0.330941-0.745056i	0.108675-0.318444i
-0.733663+0.757483i	-0.557421-0.594905i	-0.029247-0.335203i
-0.732007-0.759084i	-0.764988+0.281821i	-0.162183-0.294811i
-0.489956-0.192243i	-0.129541+0.531589i	-1.584461-0.050461i
0.295964+0.435223i	-0.411831-0.360226i	-1.543580+0.361145i
0.001313-0.526320i	0.509620-0.199136i	-1.397610+0.748165i
-0.298132+0.433741i	-0.058497+0.544009i	-1.156489+1.084249i
0.490909-0.189796i	-0.455633-0.302929i	-0.836635+1.346516i
